Book_Title,Author_Name,Author_Url,Description,Rating,Rating_Counts,Reviews_Counts,Num_Pages,Book_Format,Time_publish,Publisher,ISBN,Language,Genres,Book_Url,Book_ID
Ways of Seeing,John Berger,https://www.goodreads.com/author/show/29919.John_Berger,"John Berger’s Classic Text on ArtJohn Berger's Ways of Seeing is one of the most stimulating and the most influential books on art in any language. First published in 1972, it was based on the BBC television series about which the (London) Sunday Times critic commented: ""This is an eye-opener in more ways than one: by concentrating on how we look at paintings . . . he will almost certainly change the way you look at pictures."" By now he has.""Berger has the ability to cut right through the mystification of the professional art critics . . . He is a liberator of images: and once we have allowed the paintings to work on us directly, we are in a much better position to make a meaningful evaluation"" —Peter Fuller, Arts Review""The influence of the series and the book . . . was enormous . . . It opened up for general attention to areas of cultural study that are now commonplace"" —Geoff Dyer in Ways of TellingWinner of the 1972 Booker Prize for his novel, G., John Peter Berger (born November 5th, 1926) is an art critic, painter and author of many novels including A Painter of Our Time, From A to X and Bento’s Sketchbook.",3.86,259250.0,1615.0,176.0,Paperback,1990,Penguin,0140135154,English,"{""Art"": 145.0, ""Nonfiction"": 1127.0, ""Philosophy"": 108.0, ""Writing"": 186.0, ""Design"": 136.0, ""History"": 78.0, ""Criticism"": 55.0}",https://www.goodreads.com/book/show/2784.Ways_of_Seeing,0
Life of Pi,Yann Martel,https://www.goodreads.com/author/show/811.Yann_Martel,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",3.92,1358112.0,47536.0,460.0,Paperback,August 29th 2006,Seal Books,0770430074,English,"{""Fiction"": 13339.0, ""Fantasy"": 2632.0, ""Classics"": 1913.0, ""Adventure"": 1533.0, ""Contemporary"": 1305.0, ""Novels"": 922.0, ""Literature"": 886.0, ""Magical Realism"": 843.0, ""Cultural"": 761.0, ""Philosophy"": 693.0}",https://www.goodreads.com/book/show/4214.Life_of_Pi,1
Physics of the Impossible,Michio Kaku,https://www.goodreads.com/author/show/18800.Michio_Kaku,"A fascinating exploration of the science of the impossible—from death rays and force fields to invisibility cloaks—revealing to what extent such technologies might be achievable decades or millennia into the future.One hundred years ago, scientists would have said that lasers, televisions, and the atomic bomb were beyond the realm of physical possibility. In Physics of the Impossible, the renowned physicist Michio Kaku explores to what extent the technologies and devices of science fiction that are deemed equally impossible today might well become commonplace in the future.From teleportation to telekinesis, Kaku uses the world of science fiction to explore the fundamentals—and the limits—of the laws of physics as we know them today. He ranks the impossible technologies by categories—Class I, II, and III, depending on when they might be achieved, within the next century, millennia, or perhaps never. In a compelling and thought-provoking narrative, he explains:· How the science of optics and electromagnetism may one day enable us to bend light around an object, like a stream flowing around a boulder, making the object invisible to observers “downstream”· How ramjet rockets, laser sails, antimatter engines, and nanorockets may one day take us to the nearby stars· How telepathy and psychokinesis, once considered pseudoscience, may one day be possible using advances in MRI, computers, superconductivity, and nanotechnology· Why a time machine is apparently consistent with the known laws of quantum physics, although it would take an unbelievably advanced civilization to actually build oneKaku uses his discussion of each technology as a jumping-off point to explain the science behind it. An extraordinary scientific adventure, Physics of the Impossible takes readers on an unforgettable, mesmerizing journey into the world of science that both enlightens and entertains.",4.07,33838.0,1313.0,329.0,Hardcover,March 11th 2008,Doubleday Books,0385520697,English,"{""Science"": 31.0, ""Nonfiction"": 941.0, ""Space"": 28.0, ""Science Fiction"": 28.0, ""Audiobook"": 24.0, ""Reference"": 19.0}",https://www.goodreads.com/book/show/1168341.Physics_of_the_Impossible,2
Permanent Record,Edward Snowden,https://www.goodreads.com/author/show/7140597.Edward_Snowden,"Edward Snowden, the man who risked everything to expose the US government’s system of mass surveillance, reveals for the first time the story of his life, including how he helped to build that system and what motivated him to try to bring it down.In 2013, twenty-nine-year-old Edward Snowden shocked the world when he broke with the American intelligence establishment and revealed that the United States government was secretly pursuing the means to collect every single phone call, text message, and email. The result would be an unprecedented system of mass surveillance with the ability to pry into the private lives of every person on earth. Six years later, Snowden reveals for the very first time how he helped to build this system and why he was moved to expose it.Spanning the bucolic Beltway suburbs of his childhood and the clandestine CIA and NSA postings of his adulthood, Permanent Record is the extraordinary account of a bright young man who grew up online—a man who became a spy, a whistleblower, and, in exile, the Internet’s conscience. Written with wit, grace, passion, and an unflinching candor, Permanent Record is a crucial memoir of our digital age and destined to be a classic.",4.31,31505.0,3244.0,339.0,Hardcover,September 17th 2019,Metropolitan Books,1250237238,English,"{""Nonfiction"": 993.0, ""Biography"": 119.0, ""Politics"": 389.0, ""Autobiography"": 293.0, ""History"": 180.0, ""Science"": 35.0, ""Audiobook"": 131.0, ""Biography Memoir"": 84.0}",https://www.goodreads.com/book/show/46223297-permanent-record,3
The Histories,Herodotus,https://www.goodreads.com/author/show/901.Herodotus,"One of the masterpieces of classical literature, the ""Histories"" describes how a small and quarrelsome band of Greek city states united to repel the might of the Persian empire. But while this epic struggle forms the core of his work, Herodotus' natural curiosity frequently gives rise to colorful digressions - a description of the natural wonders of Egypt; an account of European lake-dwellers; and far-fetched accounts of dog-headed men and gold-digging ants. With its kaleidoscopic blend of fact and legend, the ""Histories"" offers a compelling Greek view of the world of the fifth century BC.",3.98,42700.0,1241.0,716.0,Paperback,January 30th 2003,Penguin Books,0140449086,English,"{""History"": 208.0, ""Classics"": 1303.0, ""Nonfiction"": 718.0, ""Cultural"": 120.0, ""Literature"": 83.0, ""Historical"": 102.0, ""Philosophy"": 75.0, ""Academic"": 56.0}",https://www.goodreads.com/book/show/1362.The_Histories,4
King Leopold's Ghost,Adam Hochschild,https://www.goodreads.com/author/show/15402.Adam_Hochschild,"In the 1880s, as the European powers were carving up Africa, King Leopold II of Belgium seized for himself the vast and mostly unexplored territory surrounding the Congo River. Carrying out a genocidal plundering of the Congo, he looted its rubber, brutalized its people, and ultimately slashed its population by ten million--all the while shrewdly cultivating his reputation as a great humanitarian. Heroic efforts to expose these crimes eventually led to the first great human rights movement of the twentieth century, in which everyone from Mark Twain to the Archbishop of Canterbury participated. King Leopold's Ghost is the haunting account of a megalomaniac of monstrous proportions, a man as cunning, charming, and cruel as any of the great Shakespearean villains. It is also the deeply moving portrait of those who fought Leopold: a brave handful of missionaries, travelers, and young idealists who went to Africa for work or adventure and unexpectedly found themselves witnesses to a holocaust. Adam Hochschild brings this largely untold story alive with the wit and skill of a Barbara Tuchman. Like her, he knows that history often provides a far richer cast of characters than any novelist could invent. Chief among them is Edmund Morel, a young British shipping agent who went on to lead the international crusade against Leopold. Another hero of this tale, the Irish patriot Roger Casement, ended his life on a London gallows. Two courageous black Americans, George Washington Williams and William Sheppard, risked much to bring evidence of the Congo atrocities to the outside world. Sailing into the middle of the story was a young Congo River steamboat officer named Joseph Conrad. And looming above them all, the duplicitous billionaire King Leopold II. With great power and compassion, King Leopold's Ghost will brand the tragedy of the Congo--too long forgotten--onto the conscience of the West",4.13,44159.0,2830.0,442.0,Kindle Edition,September 3rd 1999,Mariner Books,,English,"{""History"": 59.0, ""Nonfiction"": 1447.0, ""Cultural"": 57.0, ""Biography"": 217.0, ""Politics"": 130.0, ""Historical"": 104.0, ""Race"": 46.0}",https://www.goodreads.com/book/show/40961621-king-leopold-s-ghost,5
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,https://www.goodreads.com/author/show/1439.Malcolm_Gladwell,"An alternate cover edition exists here.The tipping point is that magic moment when an idea, trend, or social behavior crosses a threshold, tips, and spreads like wildfire. Just as a single sick person can start an epidemic of the flu, so too can a small but precisely targeted push cause a fashion trend, the popularity of a new product, or a drop in the crime rate. This widely acclaimed bestseller, in which Malcolm Gladwell explores and brilliantly illuminates the tipping point phenomenon, is already changing the way people throughout the world think about selling products and disseminating ideas.Gladwell introduces us to the particular personality types who are natural pollinators of new ideas and trends, the people who create the phenomenon of word of mouth. He analyzes fashion trends, smoking, children's television, direct mail, and the early days of the American Revolution for clues about making ideas infectious, and visits a religious commune, a successful high-tech company, and one of the world's greatest salesmen to show how to start and sustain social epidemics.",3.98,700170.0,13733.0,301.0,Paperback,January 7th 2002,Back Bay Books,0316346624,English,"{""Nonfiction"": 7986.0, ""Business"": 2920.0, ""Psychology"": 2309.0, ""Sociology"": 826.0, ""Science"": 727.0, ""Self Help"": 594.0, ""Economics"": 503.0, ""Audiobook"": 350.0, ""Leadership"": 298.0, ""Philosophy"": 286.0}",https://www.goodreads.com/book/show/2612.The_Tipping_Point,6
The Structure of Scientific Revolutions,Thomas S. Kuhn,https://www.goodreads.com/author/show/4735497.Thomas_S_Kuhn,"Thomas S. Kuhn's classic book is now available with a new index. ""A landmark in intellectual history which has attracted attention far beyond its own immediate field. . . . It is written with a combination of depth and clarity that make it an almost unbroken series of aphorisms. . . . Kuhn does not permit truth to be a criterion of scientific theories, he would presumably not claim his own theory to be true. But if causing a revolution is the hallmark of a superior paradigm, [this book] has been a resounding success."" Nicholas Wade, Science ""Perhaps the best explanation of [the] process of discovery."" William Erwin Thompson, New York Times Book Review ""Occasionally there emerges a book which has an influence far beyond its originally intended audience. . . . Thomas Kuhn's The Structure of Scientific Revolutions . . . has clearly emerged as just such a work."" Ron Johnston, Times Higher Education Supplement ""Among the most influential academic books in this century."" Choice One of ""The Hundred Most Influential Books Since the Second World War,"" Times Literary Supplement ",4.02,22618.0,1188.0,226.0,Paperback,1996,University of Chicago Press,0226458083,English,"{""Science"": 51.0, ""Philosophy"": 43.0, ""Nonfiction"": 800.0, ""History"": 566.0, ""Sociology"": 103.0, ""Classics"": 61.0, ""Academic"": 48.0}",https://www.goodreads.com/book/show/61539.The_Structure_of_Scientific_Revolutions,7
Seven Brief Lessons on Physics,Carlo Rovelli,https://www.goodreads.com/author/show/108952.Carlo_Rovelli,"All the beauty of modern physics in fewer than a hundred pages.This is a book about the joy of discovery. A playful, entertaining, and mind-bending introduction to modern physics, it's already a major bestseller in Italy and the United Kingdom. Carlo Rovelli offers surprising—and surprisingly easy to grasp—explanations of general relativity, quantum mechanics, elementary particles, gravity, black holes, the complex architecture of the universe, and the role humans play in this weird and wonderful world. He takes us to the frontiers of our knowledge: to the most minute reaches of the fabric of space, back to the origins of the cosmos, and into the workings of our minds. “Here, on the edge of what we know, in contact with the ocean of the unknown, shines the mystery and the beauty of the world,” Rovelli writes. “And it’s breathtaking.”",3.96,38311.0,3758.0,81.0,Hardcover,March 1st 2016,Riverhead Books,0399184414,English,"{""Science"": 53.0, ""Nonfiction"": 1631.0, ""Philosophy"": 104.0, ""Audiobook"": 77.0, ""Writing"": 63.0, ""European Literature"": 38.0, ""History"": 33.0, ""Environment"": 24.0}",https://www.goodreads.com/book/show/25734172-seven-brief-lessons-on-physics,8
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,https://www.goodreads.com/author/show/7956.Mary_Roach,"The best-selling author of Stiff and Bonk explores the irresistibly strange universe of space travel and life without gravity. From the Space Shuttle training toilet to a crash test of NASA’s new space capsule, Mary Roach takes us on the surreally entertaining trip into the science of life in space and space on Earth.",3.95,51357.0,4612.0,334.0,Paperback,April 4th 2011,W. W. Norton  Company,0393339912,English,"{""Nonfiction"": 2729.0, ""Science"": 53.0, ""Space"": 411.0, ""Humor"": 305.0, ""History"": 232.0, ""Audiobook"": 153.0, ""Adult"": 67.0}",https://www.goodreads.com/book/show/9542311-packing-for-mars,9
